PricingGame	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	wTotal	wPct	wRank
Any Number	12-15	11-12	8-14	5-20	9-16	9-13	9-13	7-21	11-18	11-23	15-14	6-21	11-18	8-14	9-12	8-13	9-14	8-14	8-14	174-299	0.3679	63
Balance Game '06	-	-	-	-	-	6-5	4-10	8-5	4-14	3-12	8-6	8-8	4-3	2-10	6-9	11-6	5-12	11-9	10-10	90-119	0.4306	47
Barker's Bargain Bar	23-8	21-8	24-7	18-13	15-10	21-8	16-14	15-19	4-1	-	-	3-3	23-11	16-11	17-11	14-13	15-13	18-9	22-5	285-164	0.6347	16
Barker's Marker$	3-5	5-2	5-2	3-4	3-3	2-3	3-2	3-2	0-1	-	-	-	-	-	-	-	-	-	-	27-24	0.5294	26
Bonkers	-	11-11	10-6	6-9	7-5	6-8	6-8	2-4	6-13	10-9	6-12	6-11	5-4	7-8	3-8	8-6	7-6	5-7	4-6	115-141	0.4492	45
Bonus Game	4-2	5-0	2-4	8-1	8-1	6-3	4-1	3-4	6-0	6-4	5-5	9-5	4-1	9-1	4-6	7-1	7-0	6-4	7-1	110-44	0.7143	9
Bullseye '76	9-4	10-2	12-2	9-2	8-2	12-2	6-2	14-0	11-2	6-4	8-3	7-1	6-3	8-2	12-0	7-2	6-4	8-5	11-1	170-43	0.7981	3
Buy or Sell	7-1	4-3	6-1	7-0	4-2	5-1	3-3	2-2	-	-	-	-	-	-	-	-	-	-	-	38-13	0.7451	6
Card Game	4-14	5-12	5-9	3-11	3-14	6-13	5-10	11-7	5-4	4-4	2-4	2-1	-	3-1	7-13	9-10	7-16	11-8	6-11	98-162	0.3769	60
Check Game	6-6	3-9	7-6	7-4	3-6	5-8	4-7	3-10	3-7	-	-	-	0-1	3-9	6-3	5-5	2-7	3-6	3-7	63-101	0.3841	57
Check-Out	0-10	2-8	1-8	6-5	2-6	3-6	5-3	2-6	8-7	7-9	7-4	8-5	1-7	7-6	5-5	6-4	2-9	3-6	2-11	77-125	0.3812	59
Clearance Sale	2-7	4-6	5-7	3-7	1-6	5-4	1-8	3-4	2-3	-	-	-	-	-	-	-	-	-	-	26-52	0.3333	68
Cliff Hangers	16-6	18-7	18-8	11-7	10-6	13-3	10-3	16-5	12-7	13-11	13-12	14-5	29-2	10-5	13-9	14-6	11-7	16-3	15-2	272-114	0.7047	11
Clock Game	11-8	11-4	12-4	12-4	13-5	13-6	15-5	15-6	7-10	5-8	5-6	5-6	12-4	3-3	8-3	9-2	7-4	4-6	4-4	171-98	0.6357	15
Coming or Going	-	-	-	17-11	20-8	15-9	18-6	9-18	13-5	8-3	10-12	13-10	21-13	19-13	18-10	16-9	13-10	13-12	16-4	239-153	0.6097	20
Cover Up	9-12	9-12	11-16	10-15	11-15	10-12	6-15	10-19	9-19	8-18	8-21	3-26	3-24	8-17	7-12	10-10	7-14	6-15	9-13	154-305	0.3355	67
Credit Card	3-5	1-6	3-5	5-3	1-4	3-4	4-2	3-2	0-1	-	-	-	-	-	-	-	-	-	-	23-32	0.4182	52
Danger Price	2-5	4-1	4-2	4-4	2-4	3-7	4-3	5-8	0-7	5-6	2-11	4-11	6-8	4-6	3-8	6-6	6-4	4-6	3-8	71-115	0.3817	58
Dice Game	17-13	12-11	11-13	14-13	15-12	16-13	9-17	11-12	9-5	5-8	5-10	2-12	4-6	7-8	13-6	8-9	13-6	8-10	7-11	186-195	0.4882	34
Do the Math	-	-	-	-	-	-	-	-	-	-	-	-	-	14-8	10-12	16-9	15-9	16-8	15-9	86-55	0.6099	19
Double Cross	-	-	-	-	-	-	-	-	-	-	-	2-1	17-6	8-7	10-4	7-8	10-3	8-5	7-6	69-40	0.6330	17
Double Prices	14-12	18-14	23-11	20-12	23-12	22-11	15-11	23-16	17-17	20-16	13-18	13-15	14-4	12-11	16-8	19-8	17-10	17-9	17-11	333-226	0.5957	21
Eazy az 1 2 3	11-7	14-4	12-7	9-6	4-5	9-3	4-7	9-6	12-8	4-9	6-9	6-8	5-4	5-4	6-4	3-8	6-4	4-7	3-8	132-118	0.5280	28
Five Price Tags	3-7	5-4	5-7	5-6	0-7	3-7	2-4	4-6	3-7	3-6	2-7	5-5	4-9	5-6	6-5	4-6	2-8	4-7	4-4	69-118	0.3690	62
Flip Flop	5-11	7-11	10-8	8-8	9-10	8-6	7-8	8-10	6-18	9-20	9-24	19-15	24-11	15-16	19-10	15-12	12-17	15-12	14-11	219-238	0.4792	37
Freeze Frame	4-12	10-7	6-11	6-8	8-9	5-11	8-10	6-7	7-21	7-18	3-27	12-12	10-19	10-8	5-13	8-11	4-17	11-10	7-11	137-242	0.3615	64
Gas Money	-	-	-	-	-	-	-	-	2-10	0-6	1-12	3-14	1-18	1-16	1-11	1-12	2-7	0-12	2-8	14-126	0.1000	83
Golden Road	2-5	2-4	1-7	2-7	1-4	3-5	2-5	0-6	0-4	0-3	0-4	0-2	0-3	0-4	1-3	1-3	0-4	1-3	1-3	17-79	0.1771	77
Grand Game	10-13	7-14	6-18	10-11	11-12	6-17	15-11	12-17	5-18	4-17	2-16	7-13	6-24	8-13	6-14	7-15	7-14	10-13	7-14	146-284	0.3395	65
Gridlock!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8-7	6-8	14-15	0.4828	36
Grocery Game	7-6	5-8	4-10	2-9	3-11	6-8	4-9	10-9	4-15	7-11	5-9	5-7	4-1	2-9	3-6	0-9	6-4	0-7	2-6	79-154	0.3391	66
1/2 Off	-	-	-	2-0	8-18	6-13	8-11	3-11	4-11	6-14	4-14	5-12	7-10	5-15	7-9	5-14	7-12	6-15	5-12	88-191	0.3154	69
Hi Lo	3-8	3-4	2-8	5-4	4-6	8-4	7-3	11-7	8-9	1-13	5-8	5-8	3-4	3-7	5-6	2-10	8-5	4-8	6-6	93-128	0.4208	50
Hit Me	9-3	10-1	8-6	10-3	13-1	7-3	1-2	-	-	-	-	-	-	-	-	-	-	-	-	58-19	0.7532	5
Hole in One	11-1	5-4	7-4	7-2	5-6	4-5	6-4	9-1	5-1	4-3	4-2	5-2	3-2	6-1	5-4	1-6	4-2	5-1	4-3	100-54	0.6494	12
Hot Seat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-16	2-12	1-13	4-41	0.0889	84
It's in the Bag	1-18	3-17	4-17	1-18	3-16	2-18	0-20	2-16	1-17	1-21	0-20	1-15	1-21	1-19	2-15	1-15	0-15	0-15	2-13	26-326	0.0739	85
Joker	3-2	3-1	1-1	3-2	4-0	2-1	3-0	-	-	-	-	-	-	-	-	-	-	-	-	19-7	0.7308	7
Let 'em Roll	8-6	9-6	4-8	9-5	7-10	9-7	5-9	4-7	6-7	5-7	4-10	4-10	2-3	4-7	2-10	7-5	5-5	5-6	3-9	102-137	0.4268	48
Line em Up	5-5	5-6	2-8	7-3	8-3	3-7	4-4	2-5	6-4	5-5	5-6	5-6	7-8	10-7	3-10	5-8	5-10	3-8	5-7	95-120	0.4419	46
Lucky $even	11-18	8-19	5-15	8-13	9-14	8-16	11-12	8-24	8-27	12-24	7-28	8-23	6-22	9-26	7-22	7-22	10-21	10-19	10-19	162-384	0.2967	70
Magic #	6-2	2-6	7-2	2-7	3-2	4-3	6-2	5-9	2-5	0-5	1-4	2-4	8-2	1-2	4-2	5-3	4-2	3-5	5-2	70-69	0.5036	32
Make Your Move	5-6	4-8	5-7	5-5	4-7	6-4	7-5	3-11	5-6	4-7	3-7	6-7	3-5	3-6	5-5	4-6	6-4	5-4	2-7	85-117	0.4208	51
Master Key	1-10	5-8	5-4	2-9	3-4	3-6	4-3	4-1	3-3	5-3	4-3	1-4	1-6	2-4	4-5	5-4	3-6	3-5	2-7	60-95	0.3871	56
Money Game	10-19	19-10	15-15	13-18	16-15	15-14	15-16	21-16	16-16	14-18	12-20	7-20	13-13	11-18	11-18	12-15	15-12	9-19	10-14	254-306	0.4536	43
More or Less	-	-	-	-	-	-	1-7	3-4	0-10	1-12	1-10	1-10	3-8	5-11	3-11	2-9	3-10	2-8	2-7	27-117	0.1875	76
Most Expen$ive	10-14	14-9	12-13	13-8	17-11	13-10	13-10	14-11	18-16	13-21	15-21	14-20	19-15	14-13	23-6	19-7	11-12	13-10	14-9	279-236	0.5417	23
Now....or Then	8-3	6-4	7-2	7-4	8-4	6-5	7-4	10-5	12-2	9-5	9-5	9-4	5-3	9-1	6-2	7-1	8-1	6-2	8-1	147-58	0.7171	8
On the Spot	-	-	6-5	3-10	2-0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11-15	0.4231	49
One Away	11-15	11-15	11-13	9-16	18-7	5-17	11-12	13-5	6-17	7-13	3-8	2-14	11-18	2-17	5-11	7-9	10-9	7-11	4-13	153-240	0.3893	55
1 Right Price	8-9	13-6	15-3	10-5	14-6	9-9	8-13	14-11	14-19	18-15	11-19	15-15	10-11	16-6	20-7	11-10	12-8	13-8	17-7	248-187	0.5701	22
1 Wrong Price	10-7	14-4	6-9	8-8	10-8	12-5	11-8	10-12	12-17	11-18	13-17	11-19	16-17	8-16	12-14	    8-16	13-11	10-13	10-15	205-234	0.4670	40
Pass The Buck	-	7-18	4-15	5-12	5-14	5-12	5-8	4-10	3-13	2-11	1-11	4-8	0-10	5-4	3-6	3-5	5-4	2-6	1-11	64-178	0.2645	72
Pathfinder	5-9	4-11	4-10	3-9	2-9	5-5	2-8	6-7	2-7	1-9	1-10	4-8	3-20	4-8	1-11	3-9	3-10	1-10	4-9	58-179	0.2447	73
Pay the Rent	-	-	-	-	-	-	-	-	-	-	0-12	0-11	1-9	1-7	0-8	1-7	0-8	1-7	1-6	5-75	0.0625	86
Penny Ante	6-3	8-0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14-3	0.8235	2
Pick-a-Number	0-3	2-2	3-2	3-2	2-3	2-6	3-4	6-6	9-19	6-20	8-16	6-13	3-3	10-13	11-13	12-9	8-14	12-12	9-12	115-172	0.4007	54
Pick-a-Pair	16-1	11-3	12-5	13-1	15-3	18-2	14-1	15-6	15-6	12-2	10-4	14-1	7-2	7-5	8-6	7-5	11-3	9-5	9-7	223-68	0.7663	4
Plinko	12-20	18-16	17-18	15-21	15-17	12-15	14-15	18-15	8-16	12-14	11-15	16-15	10-23	14-23	12-15	11-15	15-10	14-13	13-11	257-307	0.4557	42
Pocket Change	-	-	-	-	8-3	9-7	7-7	8-2	3-7	6-10	4-8	6-6	4-5	5-8	6-7	5-7	3-10	5-4	4-6	83-97	0.4611	41
Poker Game	4-0	4-1	2-0	4-0	4-0	3-1	5-0	-	-	-	-	-	-	-	-	-	-	-	-	26-2	0.9286	1
Punch a Bunch	1-19	1-20	4-17	6-14	3-15	1-20	2-19	1-12	0-22	0-24	0-20	0-19	0-19	1-18	0-16	0-17	1-16	1-13	0-16	22-336	0.0615	87
Push Over	13-12	11-13	10-17	11-14	9-10	7-12	11-13	13-15	13-20	15-23	10-24	16-16	24-10	15-13	15-12	13-11	11-10	16-7	22-4	255-256	0.4990	33
Race Game	5-6	6-6	5-4	5-7	2-9	5-4	10-3	10-4	7-6	2-6	6-5	7-9	4-9	5-5	9-1	6-6	6-2	7-1	6-4	113-97	0.5381	24
